N_CTX,Triton [FP16],Flash-2
1024.000000,59.800601,123.819567
2048.000000,132.269268,163.248990
4096.000000,174.001488,181.296264
8192.000000,199.574064,190.429420
16384.000000,203.444482,196.793432
