N_CTX,Triton [FP16],Flash-2
1024.000000,75.098458,81.142494
2048.000000,103.292940,115.604310
4096.000000,125.478517,142.238550
8192.000000,137.498788,158.914656
16384.000000,135.988989,169.207790
